,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
799,42,0,469,1,2,2,5,1,1109,4,1,35,3,4,8,1,1,17665,14399,0,0,1,17,3,4,80,1,23,3,3,22,6,13,7
347,47,1,1309,2,4,1,5,1,467,2,1,99,3,2,6,3,0,2976,25751,3,0,1,19,3,1,80,0,5,3,3,0,0,0,0
259,31,1,307,1,29,2,5,1,355,3,1,71,2,1,2,2,0,3479,11652,0,0,1,11,3,2,80,0,6,2,4,5,4,1,4
757,34,0,216,2,1,4,4,1,1047,2,1,75,4,2,3,4,2,9725,12278,0,0,1,11,3,4,80,1,16,2,2,15,1,0,9
58,31,0,655,1,7,4,1,1,76,4,1,48,3,2,2,4,2,5915,9528,3,0,1,22,4,4,80,1,10,3,2,7,7,1,7
518,38,0,243,2,7,4,4,1,709,4,0,46,2,2,3,4,0,4028,7791,0,0,1,20,4,1,80,0,8,2,3,7,7,0,5
430,35,0,144,1,22,3,1,1,577,4,1,46,1,1,2,3,0,4230,19225,0,0,1,15,3,3,80,0,6,2,3,5,4,4,3
425,50,0,1099,1,29,4,1,1,569,2,1,88,2,4,8,3,1,17046,9314,0,0,1,15,3,2,80,1,28,2,3,27,10,15,7
343,29,0,144,2,10,1,4,1,463,4,0,39,2,2,3,2,2,8268,11866,1,0,0,14,3,1,80,2,7,2,3,7,7,1,7
545,30,0,501,2,27,5,4,1,747,3,1,99,3,2,3,4,2,5304,25275,7,0,1,23,4,4,80,1,10,2,2,8,7,7,7
1392,35,0,1224,2,7,4,1,1,1962,3,0,55,3,2,3,4,1,5204,13586,1,0,0,11,3,4,80,0,10,2,3,10,8,0,9
178,46,0,526,2,1,2,4,1,244,2,0,92,3,3,3,1,2,10453,2137,1,0,1,25,4,3,80,3,24,2,3,24,13,15,7
1413,25,0,977,1,2,1,3,1,1992,4,1,57,3,1,2,3,2,3977,7298,6,0,0,19,3,3,80,1,7,2,2,2,2,0,2
1331,48,0,1224,1,10,3,1,1,1867,4,1,91,2,5,4,2,1,19665,13583,4,0,1,12,3,4,80,0,29,3,3,22,10,12,9
363,33,0,350,2,5,3,4,1,485,4,0,34,3,1,6,3,0,2851,9150,1,0,0,13,3,2,80,0,1,2,3,1,0,0,0
428,47,0,983,1,2,2,5,1,574,1,0,65,3,2,1,4,2,5070,7389,5,0,1,13,3,3,80,3,20,2,3,5,0,0,4
746,41,2,247,1,7,1,1,1,1035,2,0,55,1,5,4,3,2,19973,20284,1,0,1,22,4,2,80,2,21,3,3,21,16,5,10
20,24,2,673,1,11,2,3,1,26,1,0,96,4,2,1,3,2,4011,8232,0,0,1,18,3,4,80,1,5,5,2,4,2,1,3
405,25,0,688,1,3,3,5,1,538,1,1,91,3,1,2,1,1,4031,9396,5,0,1,13,3,3,80,1,6,5,3,2,2,0,2
303,31,0,218,2,7,3,2,1,416,2,1,100,4,2,3,4,1,6929,12241,4,0,1,11,3,2,80,1,10,3,2,8,7,7,7
1170,27,1,591,1,2,3,5,1,1648,4,1,87,3,1,7,4,0,2580,6297,2,0,1,13,3,3,80,0,6,0,2,4,2,1,2
649,53,0,102,1,23,4,1,1,901,4,0,72,3,4,4,4,0,14275,20206,6,0,1,18,3,3,80,0,33,0,3,12,9,3,8
903,29,0,1329,1,7,3,1,1,1260,3,1,82,3,2,0,4,2,6623,4204,1,0,0,11,3,2,80,2,6,2,3,6,0,1,0
1289,38,2,1336,0,2,3,0,1,1805,1,1,100,3,1,5,2,2,2592,7129,5,0,1,13,3,4,80,3,13,3,3,11,10,3,8
531,32,0,1018,1,3,2,1,1,727,3,0,39,3,3,4,4,0,11159,19373,3,0,1,15,3,4,80,0,10,6,3,7,7,7,7
1137,22,2,457,1,26,2,3,1,1605,2,0,85,2,1,7,3,1,2814,10293,1,0,0,14,3,2,80,0,4,2,2,4,2,1,3
848,35,1,636,1,4,4,3,1,1185,4,1,47,2,1,2,4,1,2376,26537,1,0,1,13,3,2,80,1,2,2,4,2,2,2,2
985,31,0,330,1,22,4,5,1,1389,4,1,98,3,2,1,3,1,6179,21057,1,0,0,15,3,4,80,2,10,3,2,10,2,6,7
1466,39,0,613,1,6,1,5,1,2062,4,1,42,2,3,0,1,1,9991,21457,4,0,1,15,3,1,80,1,9,5,3,7,7,1,7
51,28,0,1434,1,5,4,2,1,65,3,1,50,3,1,2,3,0,3441,11179,1,0,0,13,3,3,80,0,2,3,2,2,2,2,2
915,21,1,251,1,10,2,1,1,1279,1,0,45,2,1,2,3,0,2625,25308,1,0,1,20,4,3,80,0,2,2,1,2,2,2,2
756,32,2,1109,1,29,4,5,1,1046,4,0,69,3,1,2,3,0,4025,11135,9,0,1,12,3,2,80,0,10,2,3,8,7,7,7
1373,38,1,1394,1,8,3,5,1,1937,4,0,58,2,2,7,2,2,2133,18115,1,0,0,16,3,3,80,1,20,3,3,20,11,0,7
460,26,0,775,2,29,2,5,1,618,1,1,45,3,2,3,3,2,4306,4267,5,0,1,12,3,1,80,2,8,5,3,0,0,0,0
143,30,0,438,1,18,3,1,1,194,1,0,75,3,1,7,3,0,2632,23910,1,0,1,14,3,3,80,0,5,4,2,5,4,0,4
530,27,0,608,1,1,2,1,1,725,3,0,68,3,3,1,1,1,7412,6009,1,0,1,11,3,4,80,0,9,3,3,9,7,0,7
362,21,2,895,2,9,2,5,1,484,1,1,39,3,1,6,4,0,2610,2851,1,0,1,24,4,3,80,0,3,3,2,3,2,2,2
1307,28,0,1217,1,1,3,5,1,1834,3,0,67,3,1,7,1,1,3591,12719,1,0,1,25,4,3,80,1,3,3,3,3,2,1,2
1,49,1,279,1,8,1,1,1,2,3,1,61,2,2,7,2,1,5130,24907,1,0,1,23,4,4,80,1,10,3,3,10,7,1,7
714,50,0,1126,1,1,2,5,1,997,4,1,66,3,4,4,4,2,17399,6615,9,0,1,22,4,3,80,1,32,1,2,5,4,1,3
562,33,0,527,1,1,4,3,1,780,4,1,63,3,1,7,4,0,2686,5207,1,0,0,13,3,3,80,0,10,2,2,10,9,7,8
678,48,0,1469,1,20,4,5,1,945,4,1,51,3,1,7,3,1,2259,5543,4,0,1,17,3,1,80,2,13,2,2,0,0,0,0
